model,fault_type,task_id,seed,condition,official_success,evaluator_status,evaluator_error,agent_response,network_har,official_eval,source
deepseek_v4_pro,web_dom_missing,132,4,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed4/132/web_dom_missing_seed_4/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed4/132/web_dom_missing_seed_4/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed4/132/web_dom_missing_seed_4/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,132,5,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_dom_missing_task132_seed5/132/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_dom_missing_task132_seed5/132/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_dom_missing_task132_seed5/132/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_dom_missing,132,5,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed5/132/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed5/132/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed5/132/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,132,5,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_dom_missing,132,5,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,1,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,27,1,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed1/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed1/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed1/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,1,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,27,1,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,2,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,27,2,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed2/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed2/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed2/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,2,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,27,2,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,3,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,27,3,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed3/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed3/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed3/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,3,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,27,3,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,4,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed4/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed4/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed4/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,27,4,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed4/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed4/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed4/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,4,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed4/27/web_http_error_seed_4/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed4/27/web_http_error_seed_4/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed4/27/web_http_error_seed_4/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,27,4,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed4/27/web_http_error_seed_4/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed4/27/web_http_error_seed_4/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed4/27/web_http_error_seed_4/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,5,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed5/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed5/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed5/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,27,5,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed5/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed5/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed5/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,27,5,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed5/27/web_http_error_seed_5/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed5/27/web_http_error_seed_5/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task27_seed5/27/web_http_error_seed_5/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,27,5,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed5/27/web_http_error_seed_5/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed5/27/web_http_error_seed_5/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task27_seed5/27/web_http_error_seed_5/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,1,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,30,1,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed1/30/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed1/30/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed1/30/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,1,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,30,1,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,2,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,30,2,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed2/30/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed2/30/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed2/30/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,2,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,30,2,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,3,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,30,3,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed3/30/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed3/30/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed3/30/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,3,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,30,3,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,4,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed4/30/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed4/30/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed4/30/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,30,4,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed4/30/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed4/30/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed4/30/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,4,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed4/30/web_http_error_seed_4/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed4/30/web_http_error_seed_4/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed4/30/web_http_error_seed_4/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,30,4,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed4/30/web_http_error_seed_4/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed4/30/web_http_error_seed_4/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed4/30/web_http_error_seed_4/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,5,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed5/30/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed5/30/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed5/30/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,30,5,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed5/30/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed5/30/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed5/30/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,30,5,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed5/30/web_http_error_seed_5/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed5/30/web_http_error_seed_5/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs/web_http_error_task30_seed5/30/web_http_error_seed_5/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/outputs
deepseek_v4_pro,web_http_error,30,5,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed5/30/web_http_error_seed_5/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed5/30/web_http_error_seed_5/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task30_seed5/30/web_http_error_seed_5/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,132,1,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,132,1,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed1/132/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed1/132/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed1/132/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,132,1,fault,False,failure,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,132,1,fault,False,failure,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,132,2,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,132,2,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed2/132/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed2/132/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed2/132/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,132,2,fault,False,failure,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,132,2,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,132,3,control,False,failure,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,132,3,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed3/132/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed3/132/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed3/132/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_http_error,132,3,fault,False,failure,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_http_error,132,3,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
